"PCoA1","PCoA2","species","group","plot_label","sea","status"
-0.144513835603274,-0.0524003762663462,"Siganus stellatus","Natives - Red Sea","Siganus stellatus (RS)","red",0
0.163783455956859,-0.0786955867854933,"Sparisoma cretense","Natives - Med. Sea","Sparisoma cretense (Med)","med",0
0.0862245586651381,-0.258680949951232,"Sphyraena sphyraena","Natives - Med. Sea","Sphyraena sphyraena (Med)","med",0
0.154270854041302,0.0225449883993644,"Spicara smaris","Natives - Med. Sea","Spicara smaris (Med)","med",0
-0.0477987490144815,0.0510967376116835,"Sufflamen albicaudatum","Natives - Red Sea","Sufflamen albicaudatum (RS)","red",0
0.0954116976390638,-0.11644842669975,"Symphodus tinca","Natives - Med. Sea","Symphodus tinca (Med)","med",0
-0.100779864045682,0.0186679917725786,"Synodus variegatus","Natives - Red Sea","Synodus variegatus (RS)","red",0
0.203347593031265,-0.0558994112895516,"Taeniurops grabatus","Natives - Med. Sea","Taeniurops grabatus (Med)","med",0
0.0469993491239886,0.212861240170006,"Tetrosomus gibbosus","Lessepsians - Red Sea","Tetrosomus gibbosus (RS)","red",1
0.225616471610175,-0.0765084272063366,"Thalassoma pavo","Natives - Med. Sea","Thalassoma pavo (Med)","med",0
-0.0955189261446405,-0.0167402512883632,"Thalassoma rueppellii","Natives - Red Sea","Thalassoma rueppellii (RS)","red",0
-0.0456907560909896,0.0618470234741807,"Thamnaconus erythraeensis","Natives - Red Sea","Thamnaconus erythraeensis (RS)","red",0
0.188084780651268,-0.0619785230408183,"Torquigener flavimaculosus","Lessepsians - Med. Sea","Torquigener flavimaculosus (Med)","med",1
0.046685934976277,0.0831716906467554,"Trachurus mediterraneus","Natives - Med. Sea","Trachurus mediterraneus (Med)","med",0
-0.00995176764726754,-0.0816299008660471,"Trichiurus lepturus","Natives - Med. Sea","Trichiurus lepturus (Med)","med",0
0.0645042584153879,0.102586932784639,"Turrum fulvoguttatum","Natives - Red Sea","Turrum fulvoguttatum (RS)","red",0
0.0506499420199533,0.100055023195685,"Upeneus moluccensis","Lessepsians - Med. Sea","Upeneus moluccensis (Med)","med",1
0.0180310539110206,0.0442587078145493,"Upeneus pori","Lessepsians - Red Sea","Upeneus pori (RS)","red",1
-0.0389483587577163,0.0995466294766273,"Variola louti","Natives - Red Sea","Variola louti (RS)","red",0
0.134386532796768,0.0140881304430345,"Xyrichtys novacula","Natives - Med. Sea","Xyrichtys novacula (Med)","med",0
-0.105031795768924,-0.0795982779452016,"Zebrasoma xanthurum","Natives - Red Sea","Zebrasoma xanthurum (RS)","red",0
